termo,site,ano,titulo,data,link,contents,sentiment_compound,sentiment_pos,sentiment_neu,sentiment_neg
eucalipto,www.cmjornal.pt,2018,Caça aos Ovos no Jardim Zoológico - Tendências - Correio da Manhã,2018-04-18 23:21:41,https://arquivo.pt/noFrame/replay/20180418232141/http://www.cmjornal.pt/boa-vida/tendencias/detalhe/caca-aos-ovos-no-jardim-zoologico?ref=HP_BoaVida,jardim zoológico preparou fim semana páscoa conjunto atividades toda família dias março abril pode visitar quintinha conhecer perto animais burro pónei vaca assim horta diversificada onde vai poder identificar várias árvores fruto verificar frescura produtos hortícolas visitantes têm ainda oportunidade ajudar preparar alimentação alguns animais selvagens espaço workshop enriquecimento ambiental ovos assumem papel principal criançada poderá próprio gosto domingo páscoa ainda famosa caça ovos irá realizar jardins conde farrobo após apresentação baía golfinhos jardim zoológico preparou fim semana páscoa conjunto atividades toda família dias março abril pode visitar quintinha conhecer perto animais burro pónei vaca assim horta diversificada onde vai poder identificar várias árvores fruto verificar frescura produtos hortícolas visitantes têm ainda oportunidade ajudar preparar alimentação alguns animais selvagens espaço workshop enriquecimento ambiental ovos assumem papel principal criançada poderá próprio gosto domingo páscoa ainda famosa caça ovos irá realizar jardins conde farrobo após apresentação baía golfinhos pub pub pub copyright direitos reservados expressamente proíbida reprodução totalidade parte qualquer tipo suporte prévia permissão escrito cofina media grupo cofina consulte ascondições legais utilização,0.0,0.0,1.0,0.0
eucalipto,www.cmjornal.pt,2018,Suspensa obra polémica na zona protegida da Foz - Cidades - Correio da Manhã,2018-04-18 04:42:19,https://arquivo.pt/noFrame/replay/20180418044219/http://www.cmjornal.pt/portugal/cidades/detalhe/suspensa-obra-polemica-na-zona-protegida-da-foz?ref=cidades_outras,pub pub pub copyright direitos reservados expressamente proíbida reprodução totalidade parte qualquer tipo suporte prévia permissão escrito cofina media grupo cofina consulte ascondições legais utilização,0.0,0.0,1.0,0.0
eucalipto,www.cmjornal.pt,2018,Sporting negoceia Yusupha - Futebol - Correio da Manhã,2018-03-11 22:19:05,https://arquivo.pt/noFrame/replay/20180311221905/http://www.cmjornal.pt/desporto/futebol/detalhe/sporting-negoceia-yusupha?ref=exclusivos_MaisVistas&act=0&est=Premium,pub pub pub copyright direitos reservados expressamente proíbida reprodução totalidade parte qualquer tipo suporte prévia permissão escrito cofina media grupo cofina consulte ascondições legais utilização,0.0,0.0,1.0,0.0
pinhal,www.publico.pt,2017,Pinhal Novo - PÚBLICO,2017-08-29 06:07:05,https://arquivo.pt/noFrame/replay/20170829060705/http://www.publico.pt/pinhal-novo?frm=home_tag,site utiliza navegar site consentir sobre uso alterar localização tópicos porsão josé almeida festa pontinha líder ps vai festejar vê sucessos governo lançar apostas fase inicia porsão josé almeida festa pontinha líder ps vai festejar vê sucessos governo lançar apostas fase inicia porlusa criança transportada hospital montijo onde acabou morrer porlusa moradores realojados segurança social porlusa suspeitos fuga autoridades desconhecem quanto dinheiro pode ter sido roubado porpúblico mulher anos encontrada duas horas autoridades terem chegado local porpúblico acidente obrigou corte faz ligação ponte vasco gama zona pinhal novo porfrancisco alves rito após problemas financeiros paralisaram actividade empresa reabilitação instalações regresso escolas investimento total milhões euros final deste ano porfrancisco alves rito altura casamento sofre crise económica amigos ofereceram cerimónia diferente casal podia pagar dois autênticos caramelos lá carro bois colete avental porcarlos cipriano companhia isenta assegurar reembolsos indemnizações clientes acordo legislação europeia estado vai pedir bruxelas manter regime isenção cinco anos porpedro sales dias bruno chainho anos dois gnr verba ajudará pais desempregados sobreviver militar salvou mulher criança antes baleado sequestro durou sete horas versão responsivaouversão normal continuar inicie sessão nopúblicopara guardar quantos artigos quiser ler tarde participar inquéritos moderador comentários registar continuar ler inicie sessão assine economia limites política limites cultura limites desporto limites opinião limites vídeo limites comunicação social sa email marketing assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses assine jáe leia público durante dias apenas assinante inicie sessão novos assinantes assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses período fidelização assine jáe leia público durante semanas apenas assinante inicie sessão perca notícias reportagens fotografias trabalhos multimédia fazem público jornal premiado líder online experimente primeiro mês assine assinante inicie sessão campanha pagamentos visa paypal débito directo renovação mensal esclarecemos questões veja videos explicativos contato seguida submeta questão respondemos imediato chat continuar ler faça login assine usufruir assinatura diária ter acesso osconteúdos exclusivosdurante dia hoje tome nota código campo lado iniciar sessão condições partir,0.5859,0.011,0.989,0.0
pinhal,www.publico.pt,2017,New York Times - PÚBLICO,2017-05-22 08:14:05,https://arquivo.pt/noFrame/replay/20170522081405/http://www.publico.pt/new-york-times,site utiliza navegar site consentir sobre uso alterar localização tópicos porpúblico anderson cooper ridicularizou apoio trump tarde jornalista acabou pedir desculpas twitter porpúblico anderson cooper ridicularizou apoio trump tarde jornalista acabou pedir desculpas twitter porpúblico durante encontro sergei lavrov casa branca presidente eua afirmou despedimento james comey aliviava grande pressão sentia sobre si investigação alegadas ligações moscovo porpúblico antigo director fbi tentou manter relação distante presidente eua nome independência porpúblico jornal porto realizar reportagem equipa enchido páginas jornais portugueses mundiais pordiogo magalhães onew york timesfalou responsáveis algumas produções americanas saber presidente eua afecta trabalho porfrancisco teixeira mota políticos poder geral gostam pouco liberdade expressão porreuters jantar sido continuará celebração papel importante desempenhado imprensa independente afirmou jeff mason lidera actualmente associação correspondentes casa branca porpúblico cnn bbc new york timesou politico alguns órgãos viram entrada barrada obriefingcom secretário imprensa casa branca porsofia lorena secção página ministério negócios estrangeiros moscovo demonstrar tendências principais publicações falsas sobre rússia travar disseminação porsérgio andrade the new york timesestá recuperar anúncios notícias casamentos vem publicando desde versão responsivaouversão normal continuar inicie sessão nopúblicopara guardar quantos artigos quiser ler tarde participar inquéritos moderador comentários registar continuar ler inicie sessão assine economia limites política limites cultura limites desporto limites opinião limites vídeo limites comunicação social sa email marketing assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses assine jáe leia público durante dias apenas assinante inicie sessão novos assinantes assine público onlinee continue ler pensar limites atingir limite artigos público online mostrou importante si excelência qualidade jornalismo portugal pagamentos directo restantes meses período fidelização assine jáe leia público durante semanas apenas assinante inicie sessão perca notícias reportagens fotografias trabalhos multimédia fazem público jornal premiado líder online experimente primeiro mês assine assinante inicie sessão campanha pagamentos visa paypal débito directo renovação mensal esclarecemos questões veja videos explicativos contato seguida submeta questão respondemos imediato chat continuar ler faça login assine usufruir assinatura diária ter acesso osconteúdos exclusivosdurante dia hoje tome nota código campo lado iniciar sessão condições partir,0.0,0.0,1.0,0.0
pinhal,www.cmjornal.pt,2017,Mais Sobre pinhal - Correio da Manhã,2017-10-18 01:21:52,https://arquivo.pt/noFrame/replay/20171018012152/http://www.cmjornal.pt//maissobre/pinhal,pub pub copyright direitos reservados expressamente proíbida reprodução totalidade parte qualquer tipo suporte prévia permissão escrito cofina media grupo cofina consulte ascondições legais utilização,0.0,0.0,1.0,0.0
pinhal,www.cmjornal.pt,2017,Incêndio arde em zona de pinhal na Azambuja - Portugal - Correio da Manhã,2017-04-22 02:45:46,https://arquivo.pt/noFrame/replay/20170422024546/http://www.cmjornal.pt/portugal/detalhe/incendio-arde-em-zona-de-pinhal-na-azambuja?ref=portugal_outras,pub pub pub pub copyright direitos reservados expressamente proíbida reprodução totalidade parte qualquer tipo suporte prévia permissão escrito cofina media grupo cofina consulte ascondições legais utilização,0.0,0.0,1.0,0.0
pinhal,www.cmjornal.pt,2017,Incêndio arde em zona de pinhal na Azambuja - Portugal - Correio da Manhã,2017-04-22 02:46:16,https://arquivo.pt/noFrame/replay/20170422024616/http://www.cmjornal.pt/portugal/detalhe/incendio-arde-em-zona-de-pinhal-na-azambuja?ref=portugal_outras&act=0&est=Aberto,pub pub pub pub copyright direitos reservados expressamente proíbida reprodução totalidade parte qualquer tipo suporte prévia permissão escrito cofina media grupo cofina consulte ascondições legais utilização,0.0,0.0,1.0,0.0
pinhal,www.cmjornal.pt,2017,Candidato acusa rival de xenofobia e injúria - Exclusivos - Correio da Manhã,2017-09-14 20:19:56,https://arquivo.pt/noFrame/replay/20170914201956/http://www.cmjornal.pt/exclusivos/detalhe/candidato-acusa-rival-de-xenofobia-e-injuria?ref=HP_Exclusivos&act=0&est=Premium,pub pub pub copyright direitos reservados expressamente proíbida reprodução totalidade parte qualquer tipo suporte prévia permissão escrito cofina media grupo cofina consulte ascondições legais utilização,0.0,0.0,1.0,0.0
pinhal,www.cmjornal.pt,2017,Candidato acusa rival de xenofobia e injúria - Exclusivos - Correio da Manhã,2017-09-14 20:19:45,https://arquivo.pt/noFrame/replay/20170914201945/http://www.cmjornal.pt/exclusivos/detalhe/candidato-acusa-rival-de-xenofobia-e-injuria?ref=HP_Exclusivos,pub pub pub copyright direitos reservados expressamente proíbida reprodução totalidade parte qualquer tipo suporte prévia permissão escrito cofina media grupo cofina consulte ascondições legais utilização,0.0,0.0,1.0,0.0
