termo,site,ano,titulo,data,link
queimada,www.cmjornal.pt,2018,Quando Zenha abriu guerra a Soares para tentar chegar a Belém - Memória CM - Correio da Manhã,2018-03-18 07:40:29,https://arquivo.pt/noFrame/replay/20180318074029/http://www.cmjornal.pt/mais-cm/memoria-cm/detalhe/quando-zenha-abriu-guerra-a-soares-para-tentar-chegar-a-belem?ref=memoria-cm_outras
fogo florestal,www.publico.pt,2017,Arte xávega - PÚBLICO,2017-06-26 06:46:29,https://arquivo.pt/noFrame/replay/20170626064629/http://www.publico.pt/arte-xavega
fogo florestal,www.publico.pt,2017,Andrey Zvyagintsev - PÚBLICO,2017-07-18 00:04:02,https://arquivo.pt/noFrame/replay/20170718000402/http://www.publico.pt/andrey-zvyagintsev
fogo florestal,www.publico.pt,2017,Anton Yelchin (1989 - 2016) - PÚBLICO,2017-07-18 00:25:43,https://arquivo.pt/noFrame/replay/20170718002543/http://www.publico.pt/anton-yelchin-1989-2016
fogo florestal,www.publico.pt,2017,Andrzej Zulawski - PÚBLICO,2017-07-18 00:05:47,https://arquivo.pt/noFrame/replay/20170718000547/http://www.publico.pt/andrzej-zulawski
fogo florestal,www.cmjornal.pt,2017,Bombeiros combatem fogo florestal na Ribeira Brava,2017-09-08 01:40:32,https://arquivo.pt/noFrame/replay/20170908014032/http://www.cmjornal.pt/portugal/amp/bombeiros-combatem-fogo-florestal-na-ribeira-brava
fogo florestal,www.cmjornal.pt,2017,Fogo florestal em Loures mobiliza mais de cem bombeiros,2017-06-17 19:50:24,https://arquivo.pt/noFrame/replay/20170617195024/http://www.cmjornal.pt/portugal/amp/fogo-florestal-em-loures-mobiliza-centena-de-bombeiros
fogo florestal,www.cmjornal.pt,2017,Municípios exigem fundo de emergência para zonas afetadas - Portugal - Correio da Manhã,2017-06-24 19:41:09,https://arquivo.pt/noFrame/replay/20170624194109/http://www.cmjornal.pt/portugal/detalhe/municipios-exigem-fundo-de-emergencia-para-zonas-afetadas?ref=Bloco_CMAoMinuto
fogo florestal,www.cmjornal.pt,2017,Estará Ronaldo prestes a sair do Real Madrid? - Futebol - Correio da Manhã,2017-06-17 22:26:31,https://arquivo.pt/noFrame/replay/20170617222631/http://www.cmjornal.pt/desporto/futebol/detalhe/danny-deixa-zenit-sao-petersburgo?ref=Contacte-nos_BlocoTopoPagina&act=0&est=Aberto
fogo florestal,www.cmjornal.pt,2017,Detida mulher suspeita de atear fogo em zona florestal de Baião - Portugal - Correio da Manhã,2017-10-31 06:58:06,https://arquivo.pt/noFrame/replay/20171031065806/http://www.cmjornal.pt/portugal/detalhe/detida-mulher-suspeita-de-atear-fogo-em-zona-florestal-de-baiao
fogo florestal,www.cmjornal.pt,2017,Fogo de Vila de Rei ameaça aldeias - Portugal - Correio da Manhã,2017-08-13 22:41:28,https://arquivo.pt/noFrame/replay/20170813224128/http://www.cmjornal.pt/portugal/detalhe/fogo-de-varias-frentes-combatido-em-ferreira-do-zezere?ref=Contacte-nos_BlocoTopoPagina
fogo florestal,www.cmjornal.pt,2017,Fogo de Vila de Rei ameaça aldeias - Portugal - Correio da Manhã,2017-08-14 00:51:27,https://arquivo.pt/noFrame/replay/20170814005127/http://www.cmjornal.pt/portugal/detalhe/fogo-de-varias-frentes-combatido-em-ferreira-do-zezere?ref=Ins%C3%B3litos_BlocoTopoPagina
fogo florestal,www.cmjornal.pt,2017,PSD visita esta semana zonas mais afetadas pelos incêndios - Portugal - Correio da Manhã,2017-11-16 23:50:26,https://arquivo.pt/noFrame/replay/20171116235026/http://www.cmjornal.pt/portugal/detalhe/psd-visita-esta-semana-zonas-mais-afetadas-pelos-incendios
fogo florestal,www.cmjornal.pt,2017,"Bolsa de Xangai abriu em queda de 0,07% - Cm ao Minuto - Correio da Manhã",2017-03-21 18:14:59,https://arquivo.pt/noFrame/replay/20170321181459/http://www.cmjornal.pt/cm-ao-minuto/detalhe/bolsa-de-xangai-abriu-em-queda-de-007
fogo florestal,www.sapo.pt,2017,Já arderam 118.000 hectares de floresta este ano - Economia — SAPO,2017-08-01 17:37:07,https://arquivo.pt/noFrame/replay/20170801173707/http://www.sapo.pt/noticias/economia/ja-arderam-118-000-hectares-de-floresta-este-_59808147895a6d387658d112
fogo florestal,www.sapo.pt,2017,Incendiário da Madeira condenado a 14 anos de prisão - Economia — SAPO,2017-07-06 17:37:19,https://arquivo.pt/noFrame/replay/20170706173719/http://www.sapo.pt/noticias/economia/incendiario-da-madeira-condenado-a-14-anos-de_595e48f2afb1f76c245098ac
fogo florestal,www.cmjornal.pt,2018,Tributo a Zé Pedro no SBSR emociona milhares - Multimédia - Correio da Manhã,2018-07-21 20:33:11,https://arquivo.pt/noFrame/replay/20180721203311/http://www.cmjornal.pt/multimedia/detalhe/tributo-a-ze-pedro-no-sbsr-emociona-milhares?act=0&est=Aberto
fogo florestal,www.cmjornal.pt,2018,Tributo a Zé Pedro no SBSR emociona milhares - Multimédia - Correio da Manhã,2018-07-21 20:32:28,https://arquivo.pt/noFrame/replay/20180721203228/http://www.cmjornal.pt/multimedia/detalhe/tributo-a-ze-pedro-no-sbsr-emociona-milhares?ref=BlocoUltimas_fotogalerias
fogo florestal,www.cmjornal.pt,2018,Quercus de Aveiro apela à suspensão da caça em zonas ardidas - Cm ao Minuto - Correio da Manhã,2018-08-22 03:37:49,https://arquivo.pt/noFrame/replay/20180822033749/http://www.cmjornal.pt/cm-ao-minuto/detalhe/quercus-de-aveiro-apela-a-suspensao-da-caca-em-zonas-ardidas?ref=portugal_outras&act=0&est=Aberto
fogo florestal,www.cmjornal.pt,2018,Jardim Zoológico de Lisboa preparou várias atividades para as férias escolares - Vídeos - Correio da,2018-07-02 05:27:07,https://arquivo.pt/noFrame/replay/20180702052707/http://www.cmjornal.pt/multimedia/videos/detalhe/jardim-zoologico-de-lisboa-preparou-varias-atividades-para-as-ferias-escolares
fogo florestal,www.cmjornal.pt,2018,Jardim Zoológico de Lisboa preparou várias atividades para as férias escolares - Vídeos - Correio da,2018-07-01 23:23:33,https://arquivo.pt/noFrame/replay/20180701232333/http://www.cmjornal.pt/multimedia/videos/detalhe/jardim-zoologico-de-lisboa-preparou-varias-atividades-para-as-ferias-escolares?ref=HP_Multimedia
fogo florestal,www.cmjornal.pt,2018,Rui Zink - Correio da Manhã,2018-05-06 13:14:21,https://arquivo.pt/noFrame/replay/20180506131421/http://www.cmjornal.pt/opiniao/colunistas/rui-zink?ref=colunistas_TodosColunistas
fogo florestal,www.cmjornal.pt,2018,Rui Zink - Correio da Manhã,2018-03-13 01:32:03,https://arquivo.pt/noFrame/replay/20180313013203/http://www.cmjornal.pt/opiniao/colunistas/rui-zink
