termo,site,ano,titulo,data,link,link_base
incêndio,www.cmjornal.pt,2019,Xiaomi lança bicicleta elétrica com aspecto de moto por 400 euros - Tecnologia - Correio da Manhã,2019-04-24 19:03:21,https://arquivo.pt/noFrame/replay/20190424190321/https://www.cmjornal.pt/tecnologia/detalhe/xiaomi-lanca-bicicleta-eletrica-com-aspecto-de-moto-por-400-euros,
incêndio,www.cmjornal.pt,2019,Árbitro Carlos Xistra castigado por validar golo do P. Ferreira no jogo frente ao Sporting - Futebol,2019-11-05 01:26:51,https://arquivo.pt/noFrame/replay/20191105012651/https://www.cmjornal.pt/desporto/futebol/detalhe/exclusivo-cm--arbitro-carlos-xistra-castigado-por-validar-golo-do-pacos-de-ferreira-no-jogo-frente-ao-sporting,
incêndio,www.cmjornal.pt,2019,Miguel Albuquerque do PSD nomeado presidente do XIII Governo Regional - Política - Correio da Manhã,2019-10-09 00:43:00,https://arquivo.pt/noFrame/replay/20191009004300/https://www.cmjornal.pt/politica/detalhe/eleicoesmadeira-miguel-albuquerque-psd-nomeado-presidente-do-xiii-governo-regional?ref=Modalidades_CmaoMinuto&act=0&est=Aberto,
incêndio,www.cmjornal.pt,2019,Miguel Albuquerque do PSD nomeado presidente do XIII Governo Regional - Política - Correio da Manhã,2019-10-09 00:52:46,https://arquivo.pt/noFrame/replay/20191009005246/https://www.cmjornal.pt/politica/detalhe/eleicoesmadeira-miguel-albuquerque-psd-nomeado-presidente-do-xiii-governo-regional?ref=Ta%C3%A7adasConfedera%C3%A7%C3%B5es_CmaoMinuto,
incêndio,www.cmjornal.pt,2019,Ursa polar que apareceu faminta e exausta em cidade da Sibéria transportada para Zoo - Mundo - Corre,2019-06-21 17:08:55,https://arquivo.pt/noFrame/replay/20190621170855/https://www.cmjornal.pt/mundo/detalhe/ursa-polar-que-apareceu-faminta-e-exausta-em-cidade-da-siberia-transportada-para-zoo,
incêndio,www.cmjornal.pt,2019,Mais Sobre: Nova York - Correio da Manhã,2019-10-29 20:28:19,https://arquivo.pt/noFrame/replay/20191029202819/https://www.cmjornal.pt/maissobre/nova-york,
incêndio,www.cmjornal.pt,2019,A doca e a pesca - Rui Zink - Correio da Manhã,2019-05-12 05:58:49,https://arquivo.pt/noFrame/replay/20190512055849/https://www.cmjornal.pt/opiniao/colunistas/rui-zink/detalhe/a-doca-e-a-pesca,
incêndio,www.cmjornal.pt,2019,Cantora brasileira Xuxa revela abusos sexuais sofridos em criança - Mundo - Correio da Manhã,2019-11-25 19:42:29,https://arquivo.pt/noFrame/replay/20191125194229/https://www.cmjornal.pt/mundo/detalhe/cantora-brasileira-xuxa-revela-abusos-sexuais-sofridos-em-crianca?ref=DET_CMaoMinuto_7,
incêndio,www.cmjornal.pt,2019,Cantora brasileira Xuxa revela abusos sexuais sofridos em criança - Mundo - Correio da Manhã,2019-11-25 20:01:09,https://arquivo.pt/noFrame/replay/20191125200109/https://www.cmjornal.pt/mundo/detalhe/cantora-brasileira-xuxa-revela-abusos-sexuais-sofridos-em-crianca?ref=Pesquisa_CmaoMinuto_7,
incêndio,www.cmjornal.pt,2019,Homem com zumbido no ouvido deixa de falar e de andar após visita a otorrino - Mundo - Correio da Ma,2019-07-14 19:16:34,https://arquivo.pt/noFrame/replay/20190714191634/https://www.cmjornal.pt/mundo/detalhe/homem-com-zumbido-no-ouvido-fica-incapacitado-de-falar-e-de-andar-apos-visita-a-otorrino?ref=FalarGlobal_CMaoMinuto_3&act=0&est=Aberto,
